x,y
-0.516709,-0.172262
-0.491165,-0.077136
-0.585833,0.070818
-0.109836,-0.357936
-0.832301,0.150563
-0.680776,0.281121
0.290536,0.567507
-0.182623,0.667760
-0.041353,0.175741
-0.215766,0.093341
-0.086123,0.607700
-0.008942,0.345210
-0.307138,0.349971
-0.167882,0.495087
-0.676931,-0.005722
0.103030,-0.265374
-0.845576,0.163198
-0.468093,0.036210
-0.420209,0.120991
0.281106,-0.517151
-0.041353,0.114307
-0.621540,0.061296
0.224433,-0.232780
0.336314,0.210532
0.088290,-0.474120
0.251717,0.050951
-0.053255,-0.790902
-0.060762,0.773690
0.303629,-0.078875
0.290078,-0.438322
-1.236518,0.016434
-0.111942,-0.733497
-0.101413,0.639561
-0.089877,0.701361
-0.557909,0.346675
0.162725,-0.116504
